科目区分1,科目区分2,科目名称,配当年次,DP1-1,DP1-2,DP1-3,DP1-4,-,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,業界研究C（起業・ベンチャー）,2,◎,○,○,◎,,,,◎,〇,◎,○,○,◎,,〇,,,○,〇,◎
総合政策学科専門科目,基本科目（ゼミナール）,コース演習Ⅰ,2,◎,○,○,〇,,,○,◎,〇,◎,○,○,◎,○,〇,◎,,◎,○,〇
総合政策学科専門科目,基本科目（ゼミナール）,コース演習Ⅱ,2,◎,○,○,○,,,○,◎,○,◎,○,〇,◎,○,〇,◎,,◎,○,○
総合政策学科専門科目,展開科目（法律・政治）,政治過程論,3,◎,〇,◎,,,,,◎,○,,〇,◎,○,,,,○,,,◎
総合政策学科専門科目,展開科目（法律・政治）,日本政治論,3,◎,〇,◎,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,国際政治論,3,◎,〇,◎,,,,,◎,○,,〇,◎,○,,,,○,,,◎
総合政策学科専門科目,展開科目（法律・政治）,まちづくり政策論,3,◎,○,○,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,文化政策論,3,◎,○,○,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,生涯学習支援政策論,3,◎,○,〇,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,地方自治法,3,◎,◎,〇,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,日本外交史,3,,〇,◎,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,国際政治史,3,,○,◎,,,,,◎,○,,〇,◎,○,,,,〇,,,◎
総合政策学科専門科目,展開科目（法律・政治）,日本政治思想史,3,,○,◎,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,西欧政治思想史,3,,○,◎,,,,,◎,○,,〇,◎,○,,,,〇,,,◎
総合政策学科専門科目,展開科目（法律・政治）,比較政治論,3,◎,○,◎,,,,,◎,○,,〇,◎,○,,,,○,,,◎
総合政策学科専門科目,展開科目（法律・政治）,社会保障論,3,◎,○,◎,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,地域福祉論,3,◎,○,◎,,,,,◎,○,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（法律・政治）,公共政策応用演習（日本外交史）,3,◎,○,◎,,,,,◎,○,○,○,◎,○,,,,,◎,○,◎
総合政策学科専門科目,展開科目（法律・政治）,公共政策応用演習（国際政治史）,3,◎,○,◎,,,,,◎,○,○,○,◎,〇,,,,〇,◎,○,○
総合政策学科専門科目,展開科目（経済・経営）,サービス経済論,3,○,○,◎,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,労働経済論,3,○,〇,◎,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,流通経済論,3,○,○,◎,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,国際金融論,3,〇,〇,◎,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,企業金融論,3,〇,〇,◎,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,人的資源管理論,3,◎,〇,○,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,顧客管理論,3,◎,○,○,,,,,◎,○,,○,◎,〇,,,〇,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,消費者行動論,3,◎,〇,〇,,,,,◎,○,,○,◎,〇,,,〇,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,金融商品取引法,3,◎,〇,〇,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,観光ビジネス論,3,◎,〇,◎,,,,,◎,○,,○,◎,〇,,,,○,,,◎
総合政策学科専門科目,展開科目（経済・経営）,労働法,3,〇,◎,○,,,,,◎,○,,○,◎,〇,,,,,,,◎
総合政策学科専門科目,展開科目（経済・経営）,経済経営分析演習,3,〇,〇,◎,,,,,◎,○,〇,○,◎,〇,,,,,○,○,◎
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,子ども産業論,3,○,〇,◎,,,,,◎,○,○,○,◎,〇,,,,,◎,,○
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,子ども社会論,3,◎,〇,◎,,,,,◎,○,○,〇,◎,〇,,,,,◎,,○
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,発達心理学概論Ⅱ,3,◎,○,〇,,,,,◎,○,○,○,◎,○,,,,,◎,,○
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,アナウンス論,3,○,〇,○,◎,,,,◎,○,○,○,◎,○,,,,,○,,◎
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,広告・広報ワークショップ,3,◎,〇,○,〇,,,,◎,○,○,○,〇,○,◎,,◎,,◎,〇,○
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,情報倫理と法,3,〇,〇,◎,,,,,◎,○,,○,◎,○,,,,,,◎,〇
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,ソーシャルメディア論,3,〇,〇,◎,,,,,◎,○,◎,○,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,メディア産業論,3,〇,〇,◎,,,,,◎,○,◎,○,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,NPO論,3,〇,〇,◎,,,,,◎,○,○,○,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,組織コミュニケーション論,3,◎,〇,○,〇,,,,◎,○,○,○,◎,○,,,,,,,◎
総合政策学科専門科目,展開科目（心理・メディア・コミュニケーション）,社会調査ワークショップ,3,◎,○,○,○,,,,◎,○,○,〇,〇,○,◎,,◎,,◎,○,○
総合政策学科専門科目,展開科目（先進的キャリア形成科目群）,教員採用試験対策Ⅱ,3,◎,〇,〇,〇,,,,〇,◎,◎,○,◎,◎,〇,,〇,,○,◎,◎
総合政策学科専門科目,展開科目（先進的キャリア形成科目群）,公務員試験対策Ⅴ,3,◎,〇,〇,〇,,,,〇,◎,◎,○,◎,◎,,,,,,〇,◎
総合政策学科専門科目,展開科目（先進的キャリア形成科目群）,公務員試験対策Ⅵ,3,◎,〇,〇,〇,,,,〇,◎,◎,○,◎,◎,,,,,,〇,◎
総合政策学科専門科目,展開科目（先進的キャリア形成科目群）,公務員試験対策Ⅶ,3,◎,〇,〇,〇,,,,〇,◎,◎,○,◎,◎,,,,,,〇,◎
総合政策学科専門科目,展開科目（先進的キャリア形成科目群）,公務員試験対策Ⅷ,3,◎,〇,〇,〇,,,,〇,◎,◎,○,◎,◎,,,,,,〇,◎
総合政策学科専門科目,展開科目（先進的キャリア形成科目群）,公共・社会貢献実習,3,◎,〇,○,◎,,,,〇,◎,◎,○,○,○,◎,,○,,◎,◎,〇
総合政策学科専門科目,展開科目（先進的キャリア形成科目群）,現代ビジネス実習,3,◎,○,○,◎,,,,〇,◎,◎,○,○,○,◎,,○,,◎,◎,〇
総合政策学科専門科目,展開科目（ゼミナール）,総合演習Ⅰ,3,◎,○,○,◎,,,〇,○,〇,◎,◎,〇,○,◎,○,◎,,〇,○,◎
総合政策学科専門科目,展開科目（ゼミナール）,総合演習Ⅱ,3,◎,○,○,◎,,,〇,○,〇,◎,◎,〇,〇,◎,〇,◎,,○,○,◎
総合政策学科専門科目,展開科目（ゼミナール）,卒業研究Ⅰ,4,◎,○,○,◎,,,〇,○,〇,◎,◎,〇,◎,○,〇,◎,,○,○,◎
総合政策学科専門科目,展開科目（ゼミナール）,卒業研究Ⅱ,4,◎,○,○,◎,,,〇,○,〇,◎,◎,〇,◎,○,〇,◎,,○,○,◎
